"FileName","Url","FileType","SiteUrl","LibraryTitle","FolderPath","DocNumber","Description","Modified1","SizeBytes","UniqueId","ListId","ItemId","SearchText","WBS Description","Doc Type","FullTitleText","Main Group","Sub Group","Revision","Status","blobData","Company","SummaryText","DocKey","Sub_Vendor","AISummary","AISummarizedOn","AIKeywords","Discipline","FileLink","MDDRKey"
"SendNext proof 14:28:51","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval/6105AK038-0100-ED24-0014_0.pdf","sendnext proof 14:28:51","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K110  Solar Photovoltaic Power Plant Documents for Approval","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval","SendNext proof 14:28:51","MV Distribution Transformers - Technical Specification","1/12/2026",,,,,"SendNext proof 14:28:51","Technical","Specification","MV Distribution Transformers - Technical Specification","Technical","Specification",,"A1 - A1 : Data Complete - No Comments - Do Not Resubmit",,"Other","DockName: MV Distribution Transformers - Technical Specification  
Discipline: Electrical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Specifies requirements for medium voltage (MV) distribution transformers.  
- Details technical parameters such as voltage ratings, power capacity, and efficiency.  
- Outlines installation guidelines and operational considerations.  
- Includes compliance standards and testing protocols.  
- Intended for use in the Reko Diq Mining Project's electrical infrastructure.  ","SENDNEXT PROOF 14:28:51","Not Awarded",,,,"Electrical",,
"6105AK038-0100-ED24-0014_0.pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval/6105AK038-0100-ED24-0014_0.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K110  Solar Photovoltaic Power Plant Documents for Approval","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval","6105AK038-0100-ED24-0014_0","Cable Support Systems - Technical Specification",,,,,,"6105AK038-0100-ED24-0014_0","Technical","Specification","Cable Support Systems - Technical Specification","Technical","Specification",,"Q1 - Q1 : Quality is below Standard - Revise and Resubmit",,"PPE Technologies","DockName: Cable Support Systems - Technical Specification  
Discipline: Mechanical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Specifies requirements for cable support systems.  
- Covers design parameters for horizontal supports above 2000mm.  
- Intended for the engineering and supply of electrical and instrumentation equipment.  
- Includes details on materials and installation practices.  
- Aimed at ensuring structural integrity and compliance with safety standards.  ","6105AK038-0100-ED24-0014_0","Not Awarded",,,,"Mechanical",,
"6105AK038-0100-ED24-0007_1.pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl/PPE/6105AK038-0100-ED24-0007_1.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl","PPE","https://ppetechcoza.sharepoint.com/sites/DocumentControl/PPE","6105AK038-0100-ED24-0007_1","Low Voltage Variable Speed Drives Specification",,,,,,"6105AK038-0100-ED24-0007_1","Technical","Specification","Low Voltage Variable Speed Drives Specification","Technical","Specification",,,,"PPE Technologies","DockName: Low Voltage Variable Speed Drives Specification  
Discipline: Electrical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Details technical specifications for low voltage variable speed drives.  
- Includes updates on local stop/start functionality and induction lights.  
- Specifies wiring color changes for installation.  
- Part of the engineering and supply package for electrical instrumentation equipment.  
- Document is subject to RDMC approval before use.  ","6105AK038-0100-ED24-0007_1",,,,,"Electrical",,
"6105AK038-0100-ED24-0008_0.pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval/6105AK038-0100-ED24-0008_0.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K110  Solar Photovoltaic Power Plant Documents for Approval","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval","6105AK038-0100-ED24-0008_0","Cable Support Systems - Technical Specification",,,,,,"6105AK038-0100-ED24-0008_0","Technical","Specification","Cable Support Systems - Technical Specification","Technical","Specification",,"C1 - C1 : Data Incomplete - With Comments - Hold Work - Resubmit",,"PPE Technologies","DockName: Cable Support Systems - Technical Specification  
Discipline: Mechanical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Specifies requirements for cable support systems.  
- Covers design parameters for horizontal supports above 2000mm.  
- Intended for the engineering and supply of electrical and instrumentation equipment.  
- Includes details on materials and installation practices.  
- Aimed at ensuring structural integrity and compliance with safety standards.  ","6105AK038-0100-ED24-0008_0","Not Awarded",,,,"Mechanical",,
"6105AK038-0100-ED24-0010_2.pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval/6105AK038-0100-ED24-0010_2.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl","K110  Solar Photovoltaic Power Plant Documents for Approval","https://ppetechcoza.sharepoint.com/sites/DocumentControl/K110%20%20Solar%20Photovoltaic%20Power%20Plant%20Documents%20for%20Approval","6105AK038-0100-ED24-0010_2","MV Distribution Transformers - Technical Specification",,,,,,"6105AK038-0100-ED24-0010_2","Technical","Specification","MV Distribution Transformers - Technical Specification","Technical","Specification",,"B1 - B1 : Data Complete - With Comments - Proceed - Resubmit",,"PPE Technologies","DockName: MV Distribution Transformers - Technical Specification  
Discipline: Electrical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Specifies requirements for medium voltage (MV) distribution transformers.  
- Details technical parameters such as voltage ratings, power capacity, and efficiency.  
- Outlines installation guidelines and operational considerations.  
- Includes compliance standards and testing protocols.  
- Intended for use in the Reko Diq Mining Project's electrical infrastructure.  ","6105AK038-0100-ED24-0010_2","Not Awarded",,,,"Electrical",,
"6105AK038-0100-ED24-0005_4.pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl/PPE/6105AK038-0100-ED24-0005_4.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl","PPE","https://ppetechcoza.sharepoint.com/sites/DocumentControl/PPE","6105AK038-0100-ED24-0005_4","Low Voltage Variable Speed Drives Specification",,,,,,"6105AK038-0100-ED24-0005_4","Technical","Specification","Low Voltage Variable Speed Drives Specification","Technical","Specification",,,,"PPE Technologies","DockName: Low Voltage Variable Speed Drives Specification  
Discipline: Electrical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Details technical specifications for low voltage variable speed drives.  
- Includes updates on local stop/start functionality and induction lights.  
- Specifies wiring color changes for installation.  
- Part of the engineering and supply package for electrical instrumentation equipment.  
- Document is subject to RDMC approval before use.  ","6105AK038-0100-ED24-0005_4",,,,,"Electrical",,
"6105AK038-0100-ED24-0001_2.pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl/PPE/6105AK038-0100-ED24-0001_2.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/DocumentControl","PPE","https://ppetechcoza.sharepoint.com/sites/DocumentControl/PPE","6105AK038-0100-ED24-0001_2","Low Voltage Variable Speed Drives Specification",,,,,,"6105AK038-0100-ED24-0001_2","Technical","Specification","Low Voltage Variable Speed Drives Specification","Technical","Specification",,,,"PPE Technologies","DockName: Low Voltage Variable Speed Drives Specification  
Discipline: Electrical  
DocumentType: Specification  
Topic: Technical  
Summary:  
- Details technical specifications for low voltage variable speed drives.  
- Includes updates on local stop/start functionality and induction lights.  
- Specifies wiring color changes for installation.  
- Part of the engineering and supply package for electrical instrumentation equipment.  
- Document is subject to RDMC approval before use.  ","6105AK038-0100-ED24-0001_2",,,,,"Electrical",,
"6105AK038-7177-CD01-0004_1.pdf","https://ppetechcoza.sharepoint.com/sites/ENG2/CIVIL/6105AK038-7177-CD01-0004_1.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/ENG2","CIVIL","https://ppetechcoza.sharepoint.com/sites/ENG2/CIVIL","6105AK038-7177-CD01-0004_1","1 AIR IN AIR IN This drawing and its contents are confidential, are subject to return on demand and may not be copied or disclosed to any third party or used directly or indirectly<ddd/>","12/9/2025","611,291",,,,"6105AK038-7177-CD01-0004_1","7177 - Off-Site Fan Sediments Bore Field 41","D01 - Drawing – General Arrangement (GA)","Detailed Design - Early Works - Off-Site Fan Sediments Bore Field 41 - Overall Site - Civil Footprint - Sht. 1 of 1","Civil","Civil Footprint","1","Approved",,"PPE Technologies","1 AIR IN AIR IN This drawing and its contents are confidential, are subject to return on demand and may not be copied or disclosed to any third party or used directly or indirectly<ddd/>","6105AK038-7177-CD01-0004_1",,,,,"CIVIL",,
"6105AK124-0000-ETMP-0046.pdf","https://ppetechcoza.sharepoint.com/sites/SHERQ/OnSite QC/6105AK124-0000-ETMP-0046.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/SHERQ","QC_Templates","https://ppetechcoza.sharepoint.com/sites/SHERQ/OnSite QC","6105AK124-0000-ETMP-0046","of Area Tag Number 5 6 7 2 3 4 Item Number 1 8 9 1 1 Page Drawing Number Project No Document Number Description Cable size, type, location and routing are as per AFC cable schedule<ddd/>","10/29/2024","72,311",,,,"6105AK124-0000-ETMP-0046",,"Check List","Check list - Above Ground Cables - Form",,,,,"https://ppetechcoza.sharepoint.com/sites/SHERQ/OnSite%20QC/6105AK124-0000-ETMP-0046.pdf","Other","of Area Tag Number 5 6 7 2 3 4 Item Number 1 8 9 1 1 Page Drawing Number Project No Document Number Description Cable size, type, location and routing are as per AFC cable schedule<ddd/>","6105AK124-0000-ETMP-0046",,,,,"Electrical & Instrumentation",,
"6105AK038-5530-MD01-0007_0.pdf","https://ppetechcoza.sharepoint.com/sites/ENG2/MECHANICAL/6105AK038-5530-MD01-0007_0.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/ENG2","MECHANICAL","https://ppetechcoza.sharepoint.com/sites/ENG2/MECHANICAL","6105AK038-5530-MD01-0007_0","5 SIDE VIEW SECTION B2-B2 F F FM200 CAUTION: THIS ROOM IS PROTECTED BY A CO 2 FIRE EXTINGUISHING SYSTEM WHEN ALARM SOUNDS EVACUATE THE AREA AFTER CO2 DISCHARGE DO NOT RE-ENTER<ddd/>","12/10/2024","749,423",,,,"6105AK038-5530-MD01-0007_0","5530 - Village Sewage Effluent Treatment","D01 - Drawing – General Arrangement (GA)","Detailed Design - Early Works - Village Sewage Effluent Treatment - E-House Equipment - Signage Schedule - Sht.1 of 1","E-House","Equipment","0","Approved","https://ppetechcoza.sharepoint.com/sites/ENG2/MECHANICAL/6105AK038-5530-MD01-0007_0.pdf","PPE Technologies","5 SIDE VIEW SECTION B2-B2 F F FM200 CAUTION: THIS ROOM IS PROTECTED BY A CO 2 FIRE EXTINGUISHING SYSTEM WHEN ALARM SOUNDS EVACUATE THE AREA AFTER CO2 DISCHARGE DO NOT RE-ENTER<ddd/>","6105AK038-5530-MD01-0007_0",,,,,"MECHANICAL",,
"6105AK124-0000-ETMP-0024.pdf","https://ppetechcoza.sharepoint.com/sites/SHERQ/OnSite QC/6105AK124-0000-ETMP-0024.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/SHERQ","QC_Templates","https://ppetechcoza.sharepoint.com/sites/SHERQ/OnSite QC","6105AK124-0000-ETMP-0024","S:\Sishen South Users\Electrical - Northern Cape Ramp Up\Drawings\New Typicals\Installation Typicals\AutoCad Files\P0000-X-X000<ddd/>","8/20/2012","193,288",,,,"6105AK124-0000-ETMP-0024",,"Hook-Up Drawing","General - Hook-Up Drawing - Electric Motor Cable Hook up - Template",,,,,"https://ppetechcoza.sharepoint.com/sites/SHERQ/OnSite%20QC/6105AK124-0000-ETMP-0024.pdf","Other","S:\Sishen South Users\Electrical - Northern Cape Ramp Up\Drawings\New Typicals\Installation Typicals\AutoCad Files\P0000-X-X000<ddd/>","6105AK124-0000-ETMP-0024",,,,,"Electrical",,
"6105AK038-7177-CD01-1003_1.pdf","https://ppetechcoza.sharepoint.com/sites/ENG2/CIVIL/6105AK038-7177-CD01-1003_1.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/ENG2","CIVIL","https://ppetechcoza.sharepoint.com/sites/ENG2/CIVIL","6105AK038-7177-CD01-1003_1","3 AIR IN AIR IN This drawing and its contents are confidential, are subject to return on demand and may not be copied or disclosed to any third party or used directly or indirectly<ddd/>","12/9/2025","580,696",,,,"6105AK038-7177-CD01-1003_1","7177 - Off-Site Fan Sediments Bore Field 13","D01 - Drawing – General Arrangement (GA)","Detailed Design - Early Works - Off-Site Fan Sediments Bore Field 13 - Generator and Tank - Civil Footprint - Sht.1 of 1","Civil","Civil Footprint","1","Approved",,"PPE Technologies","3 AIR IN AIR IN This drawing and its contents are confidential, are subject to return on demand and may not be copied or disclosed to any third party or used directly or indirectly<ddd/>","6105AK038-7177-CD01-1003_1",,,,,"CIVIL",,
"6105AK038-7177-ID12-0080_0.pdf","https://ppetechcoza.sharepoint.com/sites/ENG2/INSTRUMENTATION/6105AK038-7177-ID12-0080_0.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/ENG2","INSTRUMENTATION","https://ppetechcoza.sharepoint.com/sites/ENG2/INSTRUMENTATION","6105AK038-7177-ID12-0080_0","Model This drawing and its contents are confidential, are subject to return on demand and may not be copied or disclosed to any third party or used directly or indirectly for any<ddd/>","1/12/2026","319,017",,,,"6105AK038-7177-ID12-0080_0","7177 - Off-Site Fan Sediments Bore Field 41","D12 - Drawing – Instrument","Detailed Design - Early Works - Off-Site Fan Sediments Bore Field 41 - Instrument Loop Drawing  7177-X-812 - ","Loop Drawing","Drawing","0","Pending",,"PPE Technologies","Model This drawing and its contents are confidential, are subject to return on demand and may not be copied or disclosed to any third party or used directly or indirectly for any<ddd/>","6105AK038-7177-ID12-0080_0",,,,,"INSTRUMENTATION",,
"6105AK038-5530-MD00-0004_1.pdf","https://ppetechcoza.sharepoint.com/sites/ENG2/MECHANICAL/6105AK038-5530-MD00-0004_1.pdf","pdf","https://ppetechcoza.sharepoint.com/sites/ENG2","MECHANICAL","https://ppetechcoza.sharepoint.com/sites/ENG2/MECHANICAL","6105AK038-5530-MD00-0004_1","PLAN VIEW 12000BTU CONTRACT No. : ORDER No. : xxxxxxxxxxxx xxxxxxxxxxxx MANUFACTURED BY Power Plant Electrical Technologies (Pty) Ltd Tel: +27 13 752 3570 Fax: +27 13 752 4703 www.","4/23/2025","1,568,355",,,,"6105AK038-5530-MD00-0004_1","5530 - Village Sewage Effluent Treatment","D00 - Drawing Pack","Drawing Pack - Village Sewage Effluent Treatment - MV Switch & TX Room","MV Switch & TX Room","Drawing Pack","1","Approved","https://ppetechcoza.sharepoint.com/sites/ENG2/MECHANICAL/6105AK038-5530-MD00-0004_1.pdf","PPE Technologies","PLAN VIEW 12000BTU CONTRACT No. : ORDER No. : xxxxxxxxxxxx xxxxxxxxxxxx MANUFACTURED BY Power Plant Electrical Technologies (Pty) Ltd Tel: +27 13 752 3570 Fax: +27 13 752 4703 www.","6105AK038-5530-MD00-0004_1",,,,,"MECHANICAL",,
